2022-10-29 00:07:13,r3dbU7z,ip,178.79.182.51,,https://twitter.com/r3dbU7z/status/1586147609596809216
2022-10-29 00:15:13,RdpSnitch,ip,103.102.128.31,,https://twitter.com/RdpSnitch/status/1586149620169805825
2022-10-29 00:15:13,RdpSnitch,ip,150.95.29.64,,https://twitter.com/RdpSnitch/status/1586149620169805825
2022-10-29 00:15:13,RdpSnitch,ip,103.93.191.84,,https://twitter.com/RdpSnitch/status/1586149620169805825
2022-10-29 00:31:45,AP_Zenmashi,ip,107.150.7.23,#phishing #scam,https://twitter.com/AP_Zenmashi/status/1586153781489958912
2022-10-29 00:31:45,AP_Zenmashi,url,https://leonajoseph.rest,#phishing #scam,https://twitter.com/AP_Zenmashi/status/1586153781489958912
2022-10-29 00:39:11,ecarlesi,url,https://aide-amzon.fr,#phishing,https://twitter.com/ecarlesi/status/1586155653353046019
2022-10-29 00:40:04,ecarlesi,url,https://ca-authentification.fr/,#phishing,https://twitter.com/ecarlesi/status/1586155876620161024
2022-10-29 00:40:47,harugasumi,url,https://netstation2aplus.mfjiziuczzaac.com/jp/,#phishing,https://twitter.com/harugasumi/status/1586156054744043520
2022-10-29 00:40:47,harugasumi,ip,192.161.164.187,#phishing,https://twitter.com/harugasumi/status/1586156054744043520
2022-10-29 00:41:21,ecarlesi,url,https://www.ca-authentification.fr/,#phishing,https://twitter.com/ecarlesi/status/1586156196272427008
2022-10-29 00:45:40,ecarlesi,url,https://www.ca-authentification.fr/acceder-a-mon-espace.html,#phishing,https://twitter.com/ecarlesi/status/1586157283452801024
2022-10-29 00:54:51,PhishStats,url,http://wareplugsvercel.com/,#phishing,https://twitter.com/PhishStats/status/1586159593197113344
2022-10-29 00:54:51,PhishStats,ip,142.44.151.243,#phishing,https://twitter.com/PhishStats/status/1586159593197113344
2022-10-29 01:13:41,ecarlesi,url,http://587370.org/index.html?sharename=587370.org,#malware,https://twitter.com/ecarlesi/status/1586164333922451456
2022-10-29 01:13:41,ecarlesi,url,http://587367.org/index.html?sharename=587367.org,#malware,https://twitter.com/ecarlesi/status/1586164333951815681
2022-10-29 01:13:43,ecarlesi,url,http://587376.org/index.html?sharename=587376.org,#malware,https://twitter.com/ecarlesi/status/1586164342336245760
2022-10-29 01:13:45,ecarlesi,url,http://587365.org/index.html?sharename=587365.org,#malware,https://twitter.com/ecarlesi/status/1586164351546916864
