2022-08-22 00:00:04,HeliosCert,sha256,0d2fecf703396b08fb9b77d9353ebdbda589842dd56947c04d542a912991c002,#malware,https://twitter.com/HeliosCert/status/1561503431491207171
2022-08-22 00:00:28,ecarlesi,url,https://renouvellement-secure-ameli.com,#phishing,https://twitter.com/ecarlesi/status/1561503533693902850
2022-08-22 00:00:42,ecarlesi,url,https://sqplus2.com,#phishing,https://twitter.com/ecarlesi/status/1561503592426704899
2022-08-22 00:01:46,ecarlesi,url,https://gikuos.shop,#phishing,https://twitter.com/ecarlesi/status/1561503859104972800
2022-08-22 00:03:23,ecarlesi,url,https://sqepost.com,#phishing,https://twitter.com/ecarlesi/status/1561504267156049921
2022-08-22 00:11:10,romonlyht,ip,155.94.184.231,#phishing,https://twitter.com/romonlyht/status/1561506226239782912
2022-08-22 00:11:10,romonlyht,ip,128.1.137.57,#phishing,https://twitter.com/romonlyht/status/1561506226239782912
2022-08-22 00:11:10,romonlyht,url,https://www.eptdhfi5.cn/,#phishing,https://twitter.com/romonlyht/status/1561506226239782912
2022-08-22 00:15:10,RdpSnitch,ip,196.22.249.27,,https://twitter.com/RdpSnitch/status/1561507231744532483
2022-08-22 00:15:10,RdpSnitch,ip,94.26.49.118,,https://twitter.com/RdpSnitch/status/1561507231744532483
2022-08-22 00:15:10,RdpSnitch,ip,47.242.107.32,,https://twitter.com/RdpSnitch/status/1561507231744532483
2022-08-22 00:19:53,romonlyht,ip,173.254.239.160,#phishing,https://twitter.com/romonlyht/status/1561508421408395265
2022-08-22 00:19:53,romonlyht,url,https://nkh-p1u3s.mixiaoxue.com/,#phishing,https://twitter.com/romonlyht/status/1561508421408395265
2022-08-22 00:19:53,romonlyht,ip,155.94.146.63,#phishing,https://twitter.com/romonlyht/status/1561508421408395265
2022-08-22 00:20:58,pingineer_jp,url,https://nensetsu.com/.../css/web/linklde/,#phishing #scam,https://twitter.com/pingineer_jp/status/1561508692054638592
2022-08-22 00:21:50,ecarlesi,url,http://rayios.store,#phishing,https://twitter.com/ecarlesi/status/1561508912066863104
2022-08-22 00:23:57,harugasumi,ip,172.245.163.155,#phishing,https://twitter.com/harugasumi/status/1561509442977660928
2022-08-22 00:23:57,harugasumi,ip,172.245.163.144,#phishing,https://twitter.com/harugasumi/status/1561509442977660928
2022-08-22 00:26:43,ecarlesi,url,https://cardee.store,#phishing,https://twitter.com/ecarlesi/status/1561510139475111937
