2022-10-23 00:06:18,the_unswerving,md5,42c6a6b16d75378eab14240084ae16f0,#ransomware,https://twitter.com/the_unswerving/status/1583973051062177792
2022-10-23 00:15:15,RdpSnitch,ip,69.169.81.48,,https://twitter.com/RdpSnitch/status/1583975302438350848
2022-10-23 00:15:15,RdpSnitch,ip,2.56.182.174,,https://twitter.com/RdpSnitch/status/1583975302438350848
2022-10-23 00:15:15,RdpSnitch,ip,89.22.111.14,,https://twitter.com/RdpSnitch/status/1583975302438350848
2022-10-23 00:45:16,harugasumi,url,https://www.czcheerful.com/jp,#phishing,https://twitter.com/harugasumi/status/1583982854102732800
2022-10-23 00:45:16,harugasumi,ip,155.94.177.63,#phishing,https://twitter.com/harugasumi/status/1583982854102732800
2022-10-23 00:45:48,ecarlesi,url,https://taicoob.com/tcb-en.zip,#phishing,https://twitter.com/ecarlesi/status/1583982989457117184
2022-10-23 00:53:12,ecarlesi,url,https://kitchethepoet.com,#phishing,https://twitter.com/ecarlesi/status/1583984853087047680
2022-10-23 00:55:58,harugasumi,url,http://www.au-pcyncy.aesaaomaoy.vkvp.top/au/page1.php,#phishing,https://twitter.com/harugasumi/status/1583985549698035712
2022-10-23 00:55:58,harugasumi,ip,137.184.73.52,#phishing,https://twitter.com/harugasumi/status/1583985549698035712
2022-10-23 00:55:58,harugasumi,ip,137.184.105.170,#phishing,https://twitter.com/harugasumi/status/1583985549698035712
2022-10-23 01:08:48,ecarlesi,url,http://uspsqwe.top/,#phishing,https://twitter.com/ecarlesi/status/1583988778859134977
2022-10-23 01:09:30,ecarlesi,url,http://34551.org/,#phishing,https://twitter.com/ecarlesi/status/1583988952784306178
2022-10-23 01:13:56,ecarlesi,url,https://lcloud-stolen.info/,#phishing,https://twitter.com/ecarlesi/status/1583990070998024194
2022-10-23 01:13:59,drb_ra,ip,47.97.0.61,#CobaltStrike,https://twitter.com/drb_ra/status/1583990084063612928
2022-10-23 01:14:39,ecarlesi,url,https://onlinefirsthorizon.info/,#phishing,https://twitter.com/ecarlesi/status/1583990249910214657
2022-10-23 01:14:39,ecarlesi,url,http://85757.biz/,#malware,https://twitter.com/ecarlesi/status/1583990249511755776
2022-10-23 01:15:20,ecarlesi,url,http://85057.biz/,#malware,https://twitter.com/ecarlesi/status/1583990421130051584
2022-10-23 01:15:20,ecarlesi,url,http://75015.biz/,#malware,https://twitter.com/ecarlesi/status/1583990421926989824
2022-10-23 01:15:21,ecarlesi,url,https://outubrohyper.net/,#phishing,https://twitter.com/ecarlesi/status/1583990424913424385
2022-10-23 01:15:21,ecarlesi,url,http://75035.biz/,#malware,https://twitter.com/ecarlesi/status/1583990425505140736
2022-10-23 01:15:35,ecarlesi,url,https://acessesuafatura.xyz/,#phishing,https://twitter.com/ecarlesi/status/1583990487442419712
2022-10-23 01:15:54,drb_ra,ip,39.99.132.143,#CobaltStrike,https://twitter.com/drb_ra/status/1583990565988839424
2022-10-23 01:17:04,ecarlesi,url,https://com-stop.info/,#phishing,https://twitter.com/ecarlesi/status/1583990860101824513
2022-10-23 01:17:21,ecarlesi,url,http://dianarbaker.org/square-rd971-new-detail-thank.zip,#phishing,https://twitter.com/ecarlesi/status/1583990928112771073
2022-10-23 01:17:30,ecarlesi,url,http://dashonamcneil.org/square-rd971-new-detail-thank.zip,#phishing,https://twitter.com/ecarlesi/status/1583990969703157760
2022-10-23 01:17:31,ecarlesi,url,http://alexisxhicks.org/square-rd971-new-detail-thank.zip,#phishing,https://twitter.com/ecarlesi/status/1583990969875062784
2022-10-23 01:18:11,ecarlesi,url,https://ins1.xyz/sco/index.php,#phishing,https://twitter.com/ecarlesi/status/1583991140323250178
2022-10-23 01:19:05,ecarlesi,url,http://addoncancel10.com/online/,#phishing,https://twitter.com/ecarlesi/status/1583991366128119808
2022-10-23 01:19:18,ecarlesi,url,https://onlinemtb.info/,#phishing,https://twitter.com/ecarlesi/status/1583991419890708480
2022-10-23 01:19:20,ecarlesi,url,http://addoncancel10.com/online/login.php,#phishing,https://twitter.com/ecarlesi/status/1583991431160819712
2022-10-23 01:19:22,ecarlesi,url,https://onlineaccesscport.info/,#phishing,https://twitter.com/ecarlesi/status/1583991436021596161
2022-10-23 01:19:41,ecarlesi,url,http://thedove.xyz/school-management-pro-10.1.4.zip,#phishing,https://twitter.com/ecarlesi/status/1583991517848666112
2022-10-23 01:20:02,dnstwist,domain,xboxuser.com,#phishing,https://twitter.com/dnstwist/status/1583991604087787521
2022-10-23 01:21:19,drb_ra,ip,39.106.45.206,#CobaltStrike,https://twitter.com/drb_ra/status/1583991929863184384
2022-10-23 01:23:35,ecarlesi,url,http://unwalledger.info/,#phishing,https://twitter.com/ecarlesi/status/1583992499252523011
2022-10-23 01:29:56,drb_ra,ip,143.198.99.154,#CobaltStrike,https://twitter.com/drb_ra/status/1583994098209284096
2022-10-23 01:31:31,AP_Zenmashi,url,https://www.eki-net.cfd,#phishing #scam,https://twitter.com/AP_Zenmashi/status/1583994494147784705
2022-10-23 01:31:31,AP_Zenmashi,ip,155.94.201.76,#phishing #scam,https://twitter.com/AP_Zenmashi/status/1583994494147784705
2022-10-23 01:32:17,AP_Zenmashi,url,https://www.eki-net.homes,#phishing #scam,https://twitter.com/AP_Zenmashi/status/1583994689073446914
2022-10-23 01:33:10,AP_Zenmashi,url,https://www.eki-net.bond,#phishing #scam,https://twitter.com/AP_Zenmashi/status/1583994909262217216
2022-10-23 01:33:54,AP_Zenmashi,url,https://www.eki-net.mom,#phishing #scam,https://twitter.com/AP_Zenmashi/status/1583995096965390337
2022-10-23 01:34:40,AP_Zenmashi,url,https://www.eki-net.boats,#phishing #scam,https://twitter.com/AP_Zenmashi/status/1583995286166601728
2022-10-23 01:35:26,AP_Zenmashi,url,https://www.eki-net.lol,#phishing #scam,https://twitter.com/AP_Zenmashi/status/1583995479863734273
2022-10-23 01:36:38,drb_ra,ip,143.198.142.112,#CobaltStrike,https://twitter.com/drb_ra/status/1583995781979471872
2022-10-23 01:37:00,ozuma5119,url,http://www.au-payccey.aseaoaameoy.egpu.top/au/page1.php,#phishing,https://twitter.com/ozuma5119/status/1583995873079754754
2022-10-23 01:42:50,ecarlesi,url,http://122660.com/,#malware,https://twitter.com/ecarlesi/status/1583997345041027073
2022-10-23 01:42:51,ecarlesi,url,http://122604.com/,#malware,https://twitter.com/ecarlesi/status/1583997348090236928
2022-10-23 01:48:20,ecarlesi,url,http://990740.com/,#malware,https://twitter.com/ecarlesi/status/1583998728771624960
2022-10-23 01:49:07,ecarlesi,url,http://wellsetshop.online/ramaduataa/,#phishing,https://twitter.com/ecarlesi/status/1583998924292907009
2022-10-23 01:51:12,drb_ra,ip,49.234.105.212,#CobaltStrike,https://twitter.com/drb_ra/status/1583999449583718405
2022-10-23 01:52:59,ecarlesi,url,http://1e2sxd.cyou/,#malware,https://twitter.com/ecarlesi/status/1583999897887330306
2022-10-23 01:54:13,ecarlesi,url,http://6029.doctor/,#malware,https://twitter.com/ecarlesi/status/1584000208811089921
2022-10-23 01:54:24,drb_ra,ip,194.163.189.189,#CobaltStrike,https://twitter.com/drb_ra/status/1584000254382592000
2022-10-23 01:54:25,ecarlesi,url,http://levelnewname.online/sada/,#phishing,https://twitter.com/ecarlesi/status/1584000258459152385
2022-10-23 01:59:23,ecarlesi,url,https://sitear.icu/online/,#phishing,https://twitter.com/ecarlesi/status/1584001507908673537
2022-10-23 02:00:10,ecarlesi,url,http://5u0aso.cyou/,#malware,https://twitter.com/ecarlesi/status/1584001703858212864
2022-10-23 02:01:08,ecarlesi,url,https://plad6.finance/,#malware,https://twitter.com/ecarlesi/status/1584001947283390464
2022-10-23 02:03:29,ecarlesi,url,https://configurecitizen.link/citizens%20zip%20added.zip,#phishing,https://twitter.com/ecarlesi/status/1584002538608939010
2022-10-23 02:03:31,ecarlesi,url,https://1e2sxd.cyou/,#malware,https://twitter.com/ecarlesi/status/1584002548192591874
2022-10-23 02:04:50,ecarlesi,url,https://5u0aso.cyou/,#malware,https://twitter.com/ecarlesi/status/1584002878041378818
2022-10-23 02:05:23,ecarlesi,url,https://citlive.link/ens.zip,#phishing,https://twitter.com/ecarlesi/status/1584003018512424960
2022-10-23 02:06:30,ecarlesi,url,https://de-checking-6013.cfd/de/kontrolle/volks/,#phishing,https://twitter.com/ecarlesi/status/1584003299732135936
2022-10-23 02:06:47,ecarlesi,url,https://de-checking-6014.cfd/de/,#phishing,https://twitter.com/ecarlesi/status/1584003369307615233
2022-10-23 02:06:48,ecarlesi,url,https://de-checking-6017.cfd/de/,#phishing,https://twitter.com/ecarlesi/status/1584003372868595714
2022-10-23 02:06:49,ecarlesi,url,https://de-checking-6015.cfd/de/kontrolle/volks/,#phishing,https://twitter.com/ecarlesi/status/1584003376773181441
2022-10-23 02:07:05,ecarlesi,url,https://6029.doctor/,#malware,https://twitter.com/ecarlesi/status/1584003446008852483
2022-10-23 02:07:11,ecarlesi,url,https://emjdr8.cyou/,#malware,https://twitter.com/ecarlesi/status/1584003469785976834
2022-10-23 02:07:11,ecarlesi,url,http://c2shxw.cyou/,#malware,https://twitter.com/ecarlesi/status/1584003469978935296
2022-10-23 02:08:19,ecarlesi,url,https://et47v3.cyou/,#malware,https://twitter.com/ecarlesi/status/1584003754751590400
2022-10-23 02:08:58,ecarlesi,url,https://c2shxw.cyou/,#malware,https://twitter.com/ecarlesi/status/1584003918547206145
2022-10-23 02:09:03,ecarlesi,url,https://citlive.link/enslogin/,#phishing,https://twitter.com/ecarlesi/status/1584003942635438080
2022-10-23 02:09:32,ecarlesi,url,https://de-checking-6017.cfd/de/kontrolle/volks/,#phishing,https://twitter.com/ecarlesi/status/1584004060331769857
2022-10-23 02:10:20,ecarlesi,url,http://ver4rbfcu.info/cancel/,#phishing,https://twitter.com/ecarlesi/status/1584004261847117824
2022-10-23 02:10:39,ecarlesi,url,https://9213.doctor/,#malware,https://twitter.com/ecarlesi/status/1584004341526331392
2022-10-23 02:10:59,ecarlesi,url,https://de-checking-6014.cfd/de/kontrolle/volks/,#phishing,https://twitter.com/ecarlesi/status/1584004426721034243
2022-10-23 02:11:38,ecarlesi,url,https://citlive.link/enslogin/login.php?online_id=260771f4bb61f10469b4dd623&amp;country=&amp;iso=,#phishing,https://twitter.com/ecarlesi/status/1584004589732626432
2022-10-23 02:17:34,ecarlesi,url,https://kliojdhg142r.cyou/,#malware,https://twitter.com/ecarlesi/status/1584006083537907712
2022-10-23 02:18:51,ecarlesi,url,https://hongs-standard-bc.live/hsbc-script.zip,#phishing,https://twitter.com/ecarlesi/status/1584006408969691137
2022-10-23 02:29:23,ecarlesi,url,http://666991.vip/,#malware,https://twitter.com/ecarlesi/status/1584009059245563907
2022-10-23 02:29:23,ecarlesi,url,http://666889.vip/,#malware,https://twitter.com/ecarlesi/status/1584009059023589377
2022-10-23 02:29:37,ecarlesi,url,http://666995.vip/,#malware,https://twitter.com/ecarlesi/status/1584009114656550913
2022-10-23 02:29:40,ecarlesi,url,http://111224.vip/,#malware,https://twitter.com/ecarlesi/status/1584009127306874880
2022-10-23 02:29:40,ecarlesi,url,http://666997.vip/,#malware,https://twitter.com/ecarlesi/status/1584009127734685698
2022-10-23 02:31:00,ecarlesi,url,http://666994.vip/,#malware,https://twitter.com/ecarlesi/status/1584009465594281984
2022-10-23 02:31:01,ecarlesi,url,http://666887.vip/,#malware,https://twitter.com/ecarlesi/status/1584009466751877120
2022-10-23 02:31:01,ecarlesi,url,http://666998.vip/,#malware,https://twitter.com/ecarlesi/status/1584009470333448192
2022-10-23 02:32:07,ecarlesi,url,http://666993.vip/,#malware,https://twitter.com/ecarlesi/status/1584009745471447040
2022-10-23 02:32:11,ecarlesi,url,https://postalnotice.online/,#phishing,https://twitter.com/ecarlesi/status/1584009760416104449
2022-10-23 03:01:22,AP_Zenmashi,ip,5.182.211.231,#phishing #scam,https://twitter.com/AP_Zenmashi/status/1584017107603574785
2022-10-23 03:01:22,AP_Zenmashi,url,https://support.ammaxjb1.club,#phishing #scam,https://twitter.com/AP_Zenmashi/status/1584017107603574785
2022-10-23 03:02:33,AP_Zenmashi,url,https://kakunin.ammaxjb1.club,#phishing #scam,https://twitter.com/AP_Zenmashi/status/1584017403364900864
2022-10-23 03:08:33,ecarlesi,url,http://34546.org/,#phishing,https://twitter.com/ecarlesi/status/1584018916166148097
2022-10-23 03:08:33,ecarlesi,url,http://34548.org/,#phishing,https://twitter.com/ecarlesi/status/1584018915822182400
2022-10-23 03:09:12,ecarlesi,url,http://34547.org/,#phishing,https://twitter.com/ecarlesi/status/1584019077688750080
2022-10-23 03:10:40,ecarlesi,url,http://34550.org/,#phishing,https://twitter.com/ecarlesi/status/1584019448192970752
2022-10-23 03:12:21,ecarlesi,url,http://34549.org/,#phishing,https://twitter.com/ecarlesi/status/1584019869762129921
2022-10-23 03:12:30,ecarlesi,url,http://led1gersec.info/,#phishing,https://twitter.com/ecarlesi/status/1584019910316810240
2022-10-23 03:15:14,ecarlesi,url,http://aide-sante.info,#phishing,https://twitter.com/ecarlesi/status/1584020596693663744
2022-10-23 03:17:25,ecarlesi,url,https://y914p.studio/,#malware,https://twitter.com/ecarlesi/status/1584021145048997888
2022-10-23 03:17:25,ecarlesi,url,https://y915p.studio/,#malware,https://twitter.com/ecarlesi/status/1584021145078353920
2022-10-23 03:17:25,ecarlesi,url,https://y917p.studio/,#malware,https://twitter.com/ecarlesi/status/1584021145132863489
2022-10-23 03:17:25,ecarlesi,url,https://y913p.studio/,#malware,https://twitter.com/ecarlesi/status/1584021145195409408
2022-10-23 03:17:25,ecarlesi,url,https://y916p.studio/,#malware,https://twitter.com/ecarlesi/status/1584021145937797120
2022-10-23 03:19:03,drb_ra,ip,140.120.114.107,#CobaltStrike,https://twitter.com/drb_ra/status/1584021555977519104
