2024-03-31 00:02:45,malpulse,ip,172.67.143.166,#malware #AgentTesla,https://twitter.com/malpulse/status/1774225784011448614
2024-03-31 00:25:24,kubotaa3,domain,rakuten-benk.com,#phishing,https://twitter.com/kubotaa3/status/1774231484536332479
2024-03-31 00:25:24,kubotaa3,url,https://rakuten-benk.com,#phishing,https://twitter.com/kubotaa3/status/1774231484536332479
2024-03-31 00:25:24,kubotaa3,domain,rakuten-benk.top,#phishing,https://twitter.com/kubotaa3/status/1774231484536332479
2024-03-31 00:25:24,kubotaa3,url,https://rakuten-benk.top,#phishing,https://twitter.com/kubotaa3/status/1774231484536332479
2024-03-31 00:25:24,kubotaa3,ip,216.224.123.204,#phishing,https://twitter.com/kubotaa3/status/1774231484536332479
2024-03-31 01:08:24,harugasumi,domain,v4ie2y0kpacx0e3534eckpil0q1z.mrjieri.com,#phishing,https://twitter.com/harugasumi/status/1774242308579369037
2024-03-31 01:08:24,harugasumi,url,https://v4ie2y0kpacx0e3534eckpil0q1z.mrjieri.com,#phishing,https://twitter.com/harugasumi/status/1774242308579369037
2024-03-31 01:16:34,harugasumi,ip,104.168.117.79,#phishing,https://twitter.com/harugasumi/status/1774244360328204692
2024-03-31 01:16:34,harugasumi,ip,104.168.117.85,#phishing,https://twitter.com/harugasumi/status/1774244360328204692
2024-03-31 01:22:07,harugasumi,ip,104.168.117.75,#phishing,https://twitter.com/harugasumi/status/1774245757668978866
2024-03-31 01:52:48,harugasumi,ip,74.48.140.90,#phishing,https://twitter.com/harugasumi/status/1774253479613374690
2024-03-31 01:52:48,harugasumi,domain,ykuot.com,#phishing,https://twitter.com/harugasumi/status/1774253479613374690
2024-03-31 01:52:48,harugasumi,url,https://www.ykuot.com,#phishing,https://twitter.com/harugasumi/status/1774253479613374690
2024-03-31 02:18:04,harugasumi,domain,account.appensmes.com,#phishing,https://twitter.com/harugasumi/status/1774259840115978433
2024-03-31 02:18:04,harugasumi,url,https://www.account.appensmes.com,#phishing,https://twitter.com/harugasumi/status/1774259840115978433
2024-03-31 02:18:04,harugasumi,domain,Gname.com,#phishing,https://twitter.com/harugasumi/status/1774259840115978433
2024-03-31 02:18:04,harugasumi,url,http://Gname.com,#phishing,https://twitter.com/harugasumi/status/1774259840115978433
2024-03-31 02:18:04,harugasumi,ip,223.26.59.211,#phishing,https://twitter.com/harugasumi/status/1774259840115978433
2024-03-31 04:37:17,kubotaa3,domain,betrayme.com,#phishing,https://twitter.com/kubotaa3/status/1774294873467916681
2024-03-31 04:37:17,kubotaa3,ip,87.121.112.36,#phishing,https://twitter.com/kubotaa3/status/1774294873467916681
2024-03-31 04:37:17,kubotaa3,ip,87.121.112.41,#phishing,https://twitter.com/kubotaa3/status/1774294873467916681
2024-03-31 04:37:17,kubotaa3,url,https://www.betrayme.com,#phishing,https://twitter.com/kubotaa3/status/1774294873467916681
2024-03-31 04:37:17,kubotaa3,url,https://www.yiyierer.com,#phishing,https://twitter.com/kubotaa3/status/1774294873467916681
2024-03-31 04:37:17,kubotaa3,url,https://www.btsfamen.com,#phishing,https://twitter.com/kubotaa3/status/1774294873467916681
2024-03-31 04:37:17,kubotaa3,url,https://www.suyanxishi.com,#phishing,https://twitter.com/kubotaa3/status/1774294873467916681
2024-03-31 04:37:17,kubotaa3,domain,suyanxishi.com,#phishing,https://twitter.com/kubotaa3/status/1774294873467916681
2024-03-31 04:37:17,kubotaa3,domain,btsfamen.com,#phishing,https://twitter.com/kubotaa3/status/1774294873467916681
2024-03-31 04:37:17,kubotaa3,domain,yiyierer.com,#phishing,https://twitter.com/kubotaa3/status/1774294873467916681
2024-03-31 04:41:36,kubotaa3,domain,champindo.com,#phishing,https://twitter.com/kubotaa3/status/1774295960044405027
2024-03-31 04:41:36,kubotaa3,url,https://www.champindo.com,#phishing,https://twitter.com/kubotaa3/status/1774295960044405027
2024-03-31 04:41:36,kubotaa3,domain,cmbtcmgj.com,#phishing,https://twitter.com/kubotaa3/status/1774295960044405027
2024-03-31 04:41:36,kubotaa3,url,https://www.cmbtcmgj.com,#phishing,https://twitter.com/kubotaa3/status/1774295960044405027
2024-03-31 04:45:14,kubotaa3,domain,feitatoys.com,#phishing,https://twitter.com/kubotaa3/status/1774296874947874957
2024-03-31 04:45:14,kubotaa3,url,https://www.feitatoys.com,#phishing,https://twitter.com/kubotaa3/status/1774296874947874957
2024-03-31 04:45:14,kubotaa3,domain,hexiesong.com,#phishing,https://twitter.com/kubotaa3/status/1774296874947874957
2024-03-31 04:45:14,kubotaa3,url,https://www.hexiesong.com,#phishing,https://twitter.com/kubotaa3/status/1774296874947874957
2024-03-31 04:45:14,kubotaa3,domain,pisutoys.com,#phishing,https://twitter.com/kubotaa3/status/1774296874947874957
2024-03-31 04:45:14,kubotaa3,url,https://www.pisutoys.com,#phishing,https://twitter.com/kubotaa3/status/1774296874947874957
2024-03-31 06:23:16,harugasumi,url,http://www.yiyierer.com/?index=7,#phishing,https://twitter.com/harugasumi/status/1774321544313118979
