2026-06-28 00:57:00,byrne_emmy12099,sha256,5068c758a461405275608df86114d8143fdd1fdafdd01261703145e4114c57b7,#APT,https://x.com/byrne_emmy12099/status/2071035323841441836
2026-06-28 04:56:00,patialavii,domain,jak127.org,#phishing,https://x.com/patialavii/status/2071095295509926271
2026-06-28 04:56:00,patialavii,url,https://jak127.org/docu/Windows/invite.php,#phishing,https://x.com/patialavii/status/2071095295509926271
2026-06-28 04:56:00,patialavii,url,https://jak127.org/docu/Windows/ScreenConnect.ClientSetup.msi,#phishing,https://x.com/patialavii/status/2071095295509926271
2026-06-28 04:56:00,patialavii,sha256,62eb4588396cf369bd6a901154a9405f900baaebcd8672e7837288c9cf32415c,#phishing,https://x.com/patialavii/status/2071095295509926271
2026-06-28 05:05:00,patialavii,domain,proasp.com.br,#phishing,https://x.com/patialavii/status/2071097546701984230
2026-06-28 05:05:00,patialavii,url,https://proasp.com.br/ftx/,#phishing,https://x.com/patialavii/status/2071097546701984230
2026-06-28 05:05:00,patialavii,domain,alhidarcompany.screenconnect.com,#phishing,https://x.com/patialavii/status/2071097546701984230
2026-06-28 05:05:00,patialavii,url,https://alhidarcompany.screenconnect.com/Bin/ScreenConnect.ClientSetup.msi,#phishing,https://x.com/patialavii/status/2071097546701984230
2026-06-28 05:05:00,patialavii,sha256,fc7c997579d595bc795377eba32da211058d773683046156dfded81adb365498,#phishing,https://x.com/patialavii/status/2071097546701984230
2026-06-28 05:13:00,patialavii,domain,pdf.adobefile.cam,#phishing,https://x.com/patialavii/status/2071099584332570707
2026-06-28 05:13:00,patialavii,url,https://pdf.adobefile.cam/windows/,#phishing,https://x.com/patialavii/status/2071099584332570707
2026-06-28 05:13:00,patialavii,url,https://pdf.adobefile.cam/windows/ScreenConnect.ClientSetup.msi,#phishing,https://x.com/patialavii/status/2071099584332570707
2026-06-28 05:13:00,patialavii,sha256,4dbb9c1f4226c5a64858cd9b0de309f08f58f33704c06ccadc94991ab7f1beaf,#phishing,https://x.com/patialavii/status/2071099584332570707
2026-06-28 08:14:00,smica83,domain,babyyyi.com,,https://x.com/smica83/status/2071145175557038428
2026-06-28 08:14:00,smica83,url,http://babyyyi.com,,https://x.com/smica83/status/2071145175557038428
2026-06-28 08:14:00,smica83,url,http://137.220.156.123,,https://x.com/smica83/status/2071145175557038428
2026-06-28 08:14:00,smica83,ip,137.220.156.123,,https://x.com/smica83/status/2071145175557038428
2026-06-28 08:14:00,smica83,sha256,fcd0a4054eba07a6e2c6697c7e6f116afe494e43cce7ceb99cea6d1ba6faf0b4,,https://x.com/smica83/status/2071145175557038428
2026-06-28 08:20:00,smica83,domain,tamweelke.com,#NetSupport,https://x.com/smica83/status/2071146657094193582
2026-06-28 08:20:00,smica83,url,http://tamweelke.com,#NetSupport,https://x.com/smica83/status/2071146657094193582
2026-06-28 08:20:00,smica83,sha256,275256fe1ea4fb5f4829535a4352de73a411716e16f4ae91eacdbd74ee25a7e4,#NetSupport,https://x.com/smica83/status/2071146657094193582
2026-06-28 09:21:00,Fact_Finder03,ip,20.87.213.75,#C2 #stealer,https://x.com/Fact_Finder03/status/2071162026542678154
2026-06-28 09:52:00,Yusufcancakiir,domain,shellbot.sh,,https://x.com/Yusufcancakiir/status/2071169895882957018
2026-06-28 09:52:00,Yusufcancakiir,url,http://shellbot.sh,,https://x.com/Yusufcancakiir/status/2071169895882957018
2026-06-28 09:52:00,Yusufcancakiir,url,http://141.11.76.61:8080/static/bot_agent.py,,https://x.com/Yusufcancakiir/status/2071169895882957018
2026-06-28 09:52:00,Yusufcancakiir,url,http://38.55.99.215:8080,,https://x.com/Yusufcancakiir/status/2071169895882957018
2026-06-28 09:52:00,Yusufcancakiir,url,http://141.11.76.61:8080,,https://x.com/Yusufcancakiir/status/2071169895882957018
2026-06-28 09:52:00,Yusufcancakiir,url,http://38.55.99.215:4444,,https://x.com/Yusufcancakiir/status/2071169895882957018
2026-06-28 09:52:00,Yusufcancakiir,ip,38.55.99.215,,https://x.com/Yusufcancakiir/status/2071169895882957018
2026-06-28 09:52:00,Yusufcancakiir,ip,141.11.76.61,,https://x.com/Yusufcancakiir/status/2071169895882957018
2026-06-28 10:30:00,Fact_Finder03,ip,163.176.193.12,#C2,https://x.com/Fact_Finder03/status/2071179299021852925
2026-06-28 10:30:00,Fact_Finder03,ip,66.55.64.59,#C2,https://x.com/Fact_Finder03/status/2071179299021852925
2026-06-28 10:45:00,Fact_Finder03,ip,185.69.123.93,#C2,https://x.com/Fact_Finder03/status/2071183074013188352
2026-06-28 10:48:00,Fact_Finder03,ip,174.138.18.212,#C2,https://x.com/Fact_Finder03/status/2071183828891340992
2026-06-28 10:55:00,Fact_Finder03,ip,193.26.115.79,#C2,https://x.com/Fact_Finder03/status/2071185590578520407
2026-06-28 10:55:00,Fact_Finder03,ip,91.92.40.212,#C2,https://x.com/Fact_Finder03/status/2071185590578520407
2026-06-28 11:42:00,Fact_Finder03,ip,121.173.30.1,#C2,https://x.com/Fact_Finder03/status/2071197418457059721
2026-06-28 14:45:00,Phisheidon,domain,atuvc.vu,#phishing,https://x.com/Phisheidon/status/2071243618237436291
2026-06-28 14:45:00,Phisheidon,url,https://atuvc.vu/vibt/,#phishing,https://x.com/Phisheidon/status/2071243618237436291
2026-06-28 15:23:00,sicehice,url,http://175.173.79.123:35540/Mozi.m,,https://x.com/sicehice/status/2071253245746356573
2026-06-28 15:23:00,sicehice,ip,175.173.79.123,,https://x.com/sicehice/status/2071253245746356573
2026-06-28 17:06:00,Malwarehunterr,domain,204.47.167.72.host.secureserver.net,#phishing,https://x.com/Malwarehunterr/status/2071278972135231569
2026-06-28 17:06:00,Malwarehunterr,url,https://204.47.167.72.host.secureserver.net/cryp/?email=redacted,#phishing,https://x.com/Malwarehunterr/status/2071278972135231569
2026-06-28 17:06:00,Malwarehunterr,url,http://139.84.245.197,#phishing,https://x.com/Malwarehunterr/status/2071278972135231569
2026-06-28 17:06:00,Malwarehunterr,ip,139.84.245.197,#phishing,https://x.com/Malwarehunterr/status/2071278972135231569
2026-06-28 17:06:00,Malwarehunterr,ip,204.47.167.72,#phishing,https://x.com/Malwarehunterr/status/2071278972135231569
2026-06-28 17:31:00,sicehice,url,http://153.117.34.2:52680/Mozi.m,,https://x.com/sicehice/status/2071285458147906015
