2026-08-07 00:02:00,byrne_emmy12099,sha256,f1bd5817678f498966f033f61b617dee5c8e81191901fea7c4a89146bfe91091,#APT,https://x.com/byrne_emmy12099/status/2085516940597141987
2026-08-07 02:22:00,scanmalware,domain,tame-yellow-8ck2chxh.edgeone.dev,#phishing,https://x.com/scanmalware/status/2085552206674031079
2026-08-07 02:22:00,scanmalware,url,http://tame-yellow-8ck2chxh.edgeone.dev,#phishing,https://x.com/scanmalware/status/2085552206674031079
2026-08-07 03:01:00,masaomi346,domain,sffosjcux.top,#phishing,https://x.com/masaomi346/status/2085562026773078392
2026-08-07 03:01:00,masaomi346,url,https://sffosjcux.top/jp,#phishing,https://x.com/masaomi346/status/2085562026773078392
2026-08-07 05:11:00,masaomi346,domain,niuaniu.top,#phishing,https://x.com/masaomi346/status/2085594781691048396
2026-08-07 05:11:00,masaomi346,url,https://niuaniu.top/login,#phishing,https://x.com/masaomi346/status/2085594781691048396
2026-08-07 06:32:00,JAMESWT_WT,ip,217.60.195.197,,https://x.com/JAMESWT_WT/status/2085614979714068925
2026-08-07 06:33:00,ishivtripathi,domain,passkeyhelpdesk.com,#phishing,https://x.com/ishivtripathi/status/2085615388575101396
2026-08-07 06:33:00,ishivtripathi,url,http://passkeyhelpdesk.com,#phishing,https://x.com/ishivtripathi/status/2085615388575101396
2026-08-07 06:33:00,ishivtripathi,domain,passkeyms.com,#phishing,https://x.com/ishivtripathi/status/2085615388575101396
2026-08-07 06:33:00,ishivtripathi,url,http://passkeyms.com,#phishing,https://x.com/ishivtripathi/status/2085615388575101396
2026-08-07 06:33:00,ishivtripathi,domain,setupsso.com,#phishing,https://x.com/ishivtripathi/status/2085615388575101396
2026-08-07 06:33:00,ishivtripathi,url,http://setupsso.com,#phishing,https://x.com/ishivtripathi/status/2085615388575101396
2026-08-07 06:33:00,ishivtripathi,domain,idokta.com,#phishing,https://x.com/ishivtripathi/status/2085615388575101396
2026-08-07 06:33:00,ishivtripathi,url,http://idokta.com,#phishing,https://x.com/ishivtripathi/status/2085615388575101396
2026-08-07 06:33:00,ishivtripathi,domain,portalpasskey.com,#phishing,https://x.com/ishivtripathi/status/2085615388575101396
2026-08-07 06:33:00,ishivtripathi,url,http://portalpasskey.com,#phishing,https://x.com/ishivtripathi/status/2085615388575101396
2026-08-07 06:33:00,ishivtripathi,domain,addssopasskey.com,#phishing,https://x.com/ishivtripathi/status/2085615388575101396
2026-08-07 06:33:00,ishivtripathi,url,http://addssopasskey.com,#phishing,https://x.com/ishivtripathi/status/2085615388575101396
2026-08-07 06:33:00,ishivtripathi,domain,oskeysync.com,#phishing,https://x.com/ishivtripathi/status/2085615388575101396
2026-08-07 06:33:00,ishivtripathi,url,http://oskeysync.com,#phishing,https://x.com/ishivtripathi/status/2085615388575101396
2026-08-07 06:33:00,ishivtripathi,domain,keysyncos.com,#phishing,https://x.com/ishivtripathi/status/2085615388575101396
