2026-02-08 00:24:01,skocherhan,sha256,866824f2474ad603576b12b83831b2acc12d378f0ef4d0b20df10639b04c44da,,https://x.com/skocherhan/status/2020292497143132436
2026-02-08 01:00:10,urldna_bot,domain,093421tr.weebly.com,,https://x.com/urldna_bot/status/2020301596224008357
2026-02-08 01:00:10,urldna_bot,url,https://093421tr.weebly.com,,https://x.com/urldna_bot/status/2020301596224008357
2026-02-08 03:00:07,urldna_bot,domain,oefcuonline.weebly.com,,https://x.com/urldna_bot/status/2020331781522657763
2026-02-08 03:00:07,urldna_bot,url,https://oefcuonline.weebly.com,,https://x.com/urldna_bot/status/2020331781522657763
2026-02-08 05:00:06,urldna_bot,domain,cvmsv.3656l.co:8989,,https://x.com/urldna_bot/status/2020361977114017809
2026-02-08 05:00:06,urldna_bot,url,https://cvmsv.3656l.co:8989,,https://x.com/urldna_bot/status/2020361977114017809
2026-02-08 07:00:06,urldna_bot,url,https://bit.ly/3yt4BF6,,https://x.com/urldna_bot/status/2020392177465971132
2026-02-08 09:00:06,urldna_bot,domain,disciplineadvisors.in,,https://x.com/urldna_bot/status/2020422374449930243
2026-02-08 09:00:06,urldna_bot,url,https://disciplineadvisors.in/brute/,,https://x.com/urldna_bot/status/2020422374449930243
2026-02-08 09:20:05,AP_Zenmashi,domain,mercari-auth.giize.com,#phishing,https://x.com/AP_Zenmashi/status/2020427404859384185
2026-02-08 09:20:05,AP_Zenmashi,url,https://mercari-auth.giize.com,#phishing,https://x.com/AP_Zenmashi/status/2020427404859384185
2026-02-08 09:20:05,AP_Zenmashi,ip,194.102.104.8,#phishing,https://x.com/AP_Zenmashi/status/2020427404859384185
2026-02-08 11:00:10,urldna_bot,domain,micorsoftoutlookemails.framer.website,,https://x.com/urldna_bot/status/2020452590769603036
2026-02-08 11:00:10,urldna_bot,url,https://micorsoftoutlookemails.framer.website,,https://x.com/urldna_bot/status/2020452590769603036
2026-02-08 11:01:56,404LABSx,ip,165.232.165.152,,https://x.com/404LABSx/status/2020453036028522797
