2022-01-03 00:03:15,vinopaljiri,md5,c2744845f0666e39c0e952e491fc635f,,https://twitter.com/vinopaljiri/status/1477792637910409217
2022-01-03 00:14:37,honeymoon_ioc,ip,2.58.149.206,#Log4shell,https://twitter.com/honeymoon_ioc/status/1477795499902132226
2022-01-03 00:25:02,HeliosCert,sha256,962227c1f3563501ab08267dbc46e9221493f3033e5cc852b48323790b0e776f,#malware,https://twitter.com/HeliosCert/status/1477798120201273349
2022-01-03 00:28:45,PhishStats,ip,194.163.35.73,#phishing,https://twitter.com/PhishStats/status/1477799053077499905
2022-01-03 00:28:45,PhishStats,url,http://itambana.galamaiitam.link/,#phishing,https://twitter.com/PhishStats/status/1477799053077499905
2022-01-03 00:29:22,ecarlesi,url,https://coachdebbieott.com/uploads/supplements/4837-credit_card_authorization.doc,#malware,https://twitter.com/ecarlesi/status/1477799209407496197
2022-01-03 00:43:18,harugasumi,url,https://www.netanswerplus-member.buzz/,#phishing,https://twitter.com/harugasumi/status/1477802714373705728
2022-01-03 00:49:38,harugasumi,url,https://gorgeous.qlfe.cn/fantastic,#phishing,https://twitter.com/harugasumi/status/1477804309622697984
2022-01-03 00:49:38,harugasumi,url,https://info.website-designers.net/,#phishing,https://twitter.com/harugasumi/status/1477804309622697984
2022-01-03 01:01:55,mhusnirizal,url,https://importmobile.net/,#phishing #scam,https://twitter.com/mhusnirizal/status/1477807401927467016
2022-01-03 01:01:55,mhusnirizal,ip,198.54.116.64,#phishing #scam,https://twitter.com/mhusnirizal/status/1477807401927467016
2022-01-03 01:15:23,RedBeardIOCs,sha256,b02b23a290705f3fd5f024b46b484e21aab3ab4ea867fb79b5f426246b7d4d40,#RedLine,https://twitter.com/RedBeardIOCs/status/1477810790019354624
2022-01-03 01:15:23,RedBeardIOCs,sha256,9f9db3a4b988430fcd073668807718a3153aae590028d5b66dd293d04ea879c9,#RedLine,https://twitter.com/RedBeardIOCs/status/1477810790019354624
2022-01-03 01:15:23,RedBeardIOCs,sha256,1d87f1a38c4e1542feaf07c1bc0a6dbde39867e553dd16221c0c517043c0a157,#RedLine,https://twitter.com/RedBeardIOCs/status/1477810790019354624
2022-01-03 01:15:23,RedBeardIOCs,sha256,c824900ca4b2b25db808c4ad5582b74987a30d86c0e664086e634308eef0eaf4,#RedLine,https://twitter.com/RedBeardIOCs/status/1477810790019354624
2022-01-03 01:16:30,harugasumi,url,https://www.o.mceasoi.com/,#phishing,https://twitter.com/harugasumi/status/1477811070287118340
2022-01-03 01:38:09,ecarlesi,url,http://peygiry-adl.xyz/sana.apk,#malware,https://twitter.com/ecarlesi/status/1477816517802795017
2022-01-03 01:40:19,ecarlesi,url,https://lafrance-etmagnifique.fr,#phishing,https://twitter.com/ecarlesi/status/1477817063636967433
2022-01-03 01:42:05,ecarlesi,url,http://sana-website.xyz/sana.apk,#malware,https://twitter.com/ecarlesi/status/1477817508887474177
2022-01-03 01:43:03,ecarlesi,url,https://sana-rain.xyz/%d8%b9%d8%af%d8%a7%d9%84%d8%aa%20%d9%87%d9%85%d8%b1%d8%a7%d9%87.apk,#malware,https://twitter.com/ecarlesi/status/1477817751075004417
2022-01-03 01:44:41,ecarlesi,url,https://sana-tab.xyz/%d8%b9%d8%af%d8%a7%d9%84%d8%aa%20%d9%87%d9%85%d8%b1%d8%a7%d9%87.apk,#malware,https://twitter.com/ecarlesi/status/1477818164939571202
2022-01-03 01:50:02,HeliosCert,sha256,b07557a9149ffea596d9ae7d9c3a5eb745d717478052a66c088046136c368e72,#malware,https://twitter.com/HeliosCert/status/1477819510660997121
2022-01-03 01:50:02,HeliosCert,ip,220.130.195.1,#malware,https://twitter.com/HeliosCert/status/1477819510660997121
2022-01-03 02:19:43,ecarlesi,url,http://cashdawgs-collab.land,#phishing,https://twitter.com/ecarlesi/status/1477826982545141763
2022-01-03 02:30:02,HeliosCert,sha256,a37103f952012f0fa20d47bb4b5a0f2ac8e1208394827b4db5f4ce2f519cb5e9,#malware,https://twitter.com/HeliosCert/status/1477829577393283077
2022-01-03 02:51:52,harugasumi,url,http://www.aeona.shop//,#phishing,https://twitter.com/harugasumi/status/1477835072082673666
2022-01-03 02:58:49,GootLoaderSites,url,https://homebuyingacademy.com/news.php,#GootLoader,https://twitter.com/GootLoaderSites/status/1477836819840573441
2022-01-03 03:17:53,PhishStats,ip,20.122.29.149,#phishing,https://twitter.com/PhishStats/status/1477841617461649413
2022-01-03 03:17:53,PhishStats,url,http://grup-miakhalifa-18.duckdns.org/,#phishing,https://twitter.com/PhishStats/status/1477841617461649413
2022-01-03 03:52:44,ecarlesi,url,https://we1lsafarg0.xyz/,#phishing,https://twitter.com/ecarlesi/status/1477850388598439936
2022-01-03 03:55:48,mhusnirizal,ip,198.54.115.59,#phishing #scam,https://twitter.com/mhusnirizal/status/1477851159607971842
2022-01-03 03:55:48,mhusnirizal,url,https://polkagives.com/,#phishing #scam,https://twitter.com/mhusnirizal/status/1477851159607971842
2022-01-03 03:56:40,ecarlesi,url,http://centre-netflix.support,#phishing,https://twitter.com/ecarlesi/status/1477851378508828672
2022-01-03 04:41:23,ecarlesi,url,https://eblaghir.online/dadsara.apk,#malware,https://twitter.com/ecarlesi/status/1477862632174538752
2022-01-03 04:44:13,ecarlesi,url,http://hanhou.app/,#phishing,https://twitter.com/ecarlesi/status/1477863344082243584
2022-01-03 04:45:03,HeliosCert,ip,180.249.109.229,#malware,https://twitter.com/HeliosCert/status/1477863553143029761
2022-01-03 04:45:03,HeliosCert,sha256,13f3f2c8bf514cc03325083e07aa84765b039a27e8e352b06a4cf161eec2e1f4,#malware,https://twitter.com/HeliosCert/status/1477863553143029761
2022-01-03 04:48:39,ecarlesi,url,http://trust-support.info/,#phishing,https://twitter.com/ecarlesi/status/1477864459335045120
2022-01-03 04:49:15,ecarlesi,url,http://goloisdumonde.fr,#phishing,https://twitter.com/ecarlesi/status/1477864612854968321
2022-01-03 04:53:14,ecarlesi,url,http://eblageiraniir.online/%d8%b9%d8%af%d8%a7%d9%84%d8%aa%20%d9%87%d9%85%d8%b1%d8%a7%d9%87.apk,#malware,https://twitter.com/ecarlesi/status/1477865612474998785
2022-01-03 05:02:49,ecarlesi,url,http://helpdesk-trust.info/,#phishing,https://twitter.com/ecarlesi/status/1477868023872729090
2022-01-03 05:42:57,RedBeardIOCs,sha256,561371f32670beb2d39fe51bfedbb1fda7b97ebd29e2cd04f1dfc383f1943302,#AgentTesla,https://twitter.com/RedBeardIOCs/status/1477878123974873093
2022-01-03 05:42:57,RedBeardIOCs,sha256,b29bccb769dde928c7cba9f36275abd21498b64233f56bb3839b6de2055ff31e,#AgentTesla,https://twitter.com/RedBeardIOCs/status/1477878123974873093
2022-01-03 05:42:57,RedBeardIOCs,sha256,0ad604a10f104218d1026f5b0e515cb7b4bc25d95abaac6307c37136f672e064,#AgentTesla,https://twitter.com/RedBeardIOCs/status/1477878123974873093
